DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2014,4.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2015,4.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2016,3.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2017,3.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2018,2.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2019,2.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2020,7.0,b
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2021,3.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2022,6.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2023,8.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2003,10.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2004,10.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2005,8.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2006,9.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2007,10.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2008,1.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2009,1.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2010,1.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2011,2.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2012,2.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2013,3.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2014,2.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2015,3.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2016,2.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2017,2.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2018,3.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2019,2.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2020,3.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2021,2.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2022,5.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DK,2023,6.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2004,5.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2005,2.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2006,2.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2007,3.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2008,1.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2009,1.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2010,3.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2011,3.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2012,4.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2013,2.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2014,1.7,b
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2015,2.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2016,2.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2017,2.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2018,2.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2019,2.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2020,2.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2021,2.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2022,3.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EE,2023,4.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2003,17.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2004,16.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2005,15.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2006,12.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2007,13.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2008,15.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2009,15.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2010,15.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2011,18.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2012,26.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2013,29.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2014,32.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2015,29.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2016,29.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2017,25.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2018,22.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2019,17.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2020,17.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2021,17.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2022,18.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,EL,2023,19.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2004,9.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2005,9.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2006,10.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2007,8.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2008,5.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2009,7.2,b
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2010,7.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2011,6.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2012,9.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2013,8.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2014,11.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2015,10.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2016,10.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2017,8.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2018,9.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2019,7.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2020,10.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2021,14.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2022,17.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,ES,2023,20.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2004,3.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2005,2.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2006,2.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2007,1.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2008,1.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2009,1.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2010,1.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2011,1.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,FI,2012,1.5,
